,X,Y,OBJECTID,ticket_number,issued_date,location,description,status,amount,dayofweek,hour,coords
15,,,16,369473D,2023/01/01 20:01:00+00,1000 LANCASTER AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Sunday,20,"('43.032002', '-76.122848')"
16,,,17,369474D,2023/01/01 20:04:00+00,1100 LANCASTER AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Sunday,20,"('43.030096', '-76.122391')"
17,,,18,369475D,2023/01/01 20:09:00+00,1400 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60,Sunday,20,"('43.02696', '-76.122118')"
18,-8473759.58587073,5316190.99987459,19,369476D,2023/01/01 20:12:00+00,400 BUCKINGHAM AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Sunday,20,"('43.0276814', '-76.1210386')"
19,,,20,369477D,2023/01/01 20:15:00+00,300 BUCKINGHAM AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Sunday,20,"('43.030148', '-76.121252')"
20,,,21,369478D,2023/01/01 20:17:00+00,300 BUCKINGHAM AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Sunday,20,"('43.030148', '-76.121252')"
21,-8473640.86368371,5316562.41554059,22,369479D,2023/01/01 20:21:00+00,200 KENSINGTON RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Sunday,20,"('43.032058', '-76.122572')"
22,-8473640.86368371,5316562.41554059,23,369480D,2023/01/01 20:23:00+00,200 KENSINGTON RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Sunday,20,"('43.032058', '-76.122572')"
23,-8473640.86368371,5316562.41554059,24,389521D,2023/01/01 20:27:00+00,200 KENSINGTON RD,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Sunday,20,"('43.032058', '-76.122572')"
24,-8473640.86368371,5316562.41554059,25,389522D,2023/01/01 20:29:00+00,200 KENSINGTON RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Sunday,20,"('43.032058', '-76.122572')"
25,-8473640.86368371,5316562.41554059,26,389523D,2023/01/01 20:31:00+00,200 KENSINGTON RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Sunday,20,"('43.032058', '-76.122572')"
26,-8473640.86368371,5316562.41554059,27,389524D,2023/01/01 20:34:00+00,200 KENSINGTON RD,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Fourth Notice,25,Sunday,20,"('43.032058', '-76.122572')"
27,,,28,396002D,2023/01/02 08:58:00+00,100 MARIPOSA ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,08,"('43.06188', '-76.122292')"
28,-8473772.10936386,5316844.75598755,29,389529D,2023/01/01 20:51:00+00,300 KENSINGTON RD,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,10,Sunday,20,"('43.0320166', '-76.1211029')"
29,,,30,394356D,2023/01/02 09:08:00+00,500 CRAIG ST,NO STOPPING 6 AM - 6 PM CO15-364,Paid In Full,25,Monday,09,"('43.071973', '-76.144931')"
30,-8473895.34009534,5317075.02067029,31,389525D,2023/01/01 20:39:00+00,100 BUCKINGHAM AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Sunday,20,"('43.03349135', '-76.12227665')"
31,-8473895.34009534,5317075.02067029,32,389526D,2023/01/01 20:42:00+00,100 BUCKINGHAM AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Sunday,20,"('43.03349135', '-76.12227665')"
32,-8473772.10936386,5316844.75598755,33,389528D,2023/01/01 20:49:00+00,300 KENSINGTON RD,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Sunday,20,"('43.0320166', '-76.1211029')"
33,,,34,389530D,2023/01/01 21:00:00+00,100 KENSINGTON PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Sunday,21,"('43.031489', '-76.12001')"
34,,,35,389531D,2023/01/01 21:02:00+00,100 KENSINGTON PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Sunday,21,"('43.031489', '-76.12001')"
35,,,36,389532D,2023/01/01 21:05:00+00,100 KENSINGTON PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Sunday,21,"('43.031489', '-76.12001')"
36,,,37,389533D,2023/01/01 21:07:00+00,100 KENSINGTON PL,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Sunday,21,"('43.031489', '-76.12001')"
37,-8473697.46959495,5317530.08420824,38,389534D,2023/01/01 21:14:00+00,800 MARYLAND AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Sunday,21,"('43.03650915', '-76.12054507283808')"
38,-8473697.46959495,5317530.08420824,39,389535D,2023/01/01 21:15:00+00,800 MARYLAND AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Sunday,21,"('43.03650915', '-76.12054507283808')"
39,-8473677.93306657,5317234.01620802,40,389536D,2023/01/01 21:20:00+00,900 MARYLAND AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Sunday,21,"('43.0345936', '-76.12037769785488')"
40,-8473677.93306657,5317234.01620802,41,389537D,2023/01/01 21:22:00+00,900 MARYLAND AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Partial ,10,Sunday,21,"('43.0345936', '-76.12037769785488')"
41,,,42,389538D,2023/01/01 21:26:00+00,100 KENSINGTON RD,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,25,Sunday,21,"('43.032002', '-76.1238')"
42,-8473520.13775077,5317070.90881115,43,389540D,2023/01/01 21:33:00+00,1000 WESTCOTT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Sunday,21,"('43.0334685', '-76.1189433')"
43,,,44,389541D,2023/01/01 21:36:00+00,200 JEROME ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Sunday,21,"('43.033557', '-76.117246')"
44,,,45,389542D,2023/01/01 21:39:00+00,200 JEROME ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Promise To Pay,60,Sunday,21,"('43.033557', '-76.117246')"
45,-8477553.68807163,5319927.75735116,46,373484D,2023/01/01 01:01:00+00,300 GENESEE ST W,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,25,Sunday,01,"('43.0485203', '-76.2427812')"
46,,,47,389543D,2023/01/01 21:40:00+00,200 JEROME ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Promise To Pay,25,Sunday,21,"('43.033557', '-76.117246')"
47,-8473387.89020637,5317073.65001209,48,389544D,2023/01/01 21:45:00+00,300 ROOSEVELT AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Sunday,21,"('43.0334904', '-76.1176299')"
48,-8473387.89020637,5317073.65001209,49,389547D,2023/01/01 21:56:00+00,300 ROOSEVELT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Sunday,21,"('43.0334904', '-76.1176299')"
49,,,50,389549D,2023/01/01 21:53:00+00,100 ROOSEVELT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Sunday,21,"('43.036737', '-76.117807')"
50,,,51,389550D,2023/01/01 23:00:00+00,100 ROOSEVELT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Sunday,23,"('43.036737', '-76.117807')"
51,-8477553.68807163,5319927.75735116,52,373485D,2023/01/01 01:03:00+00,300 GENESEE ST W,FIRE HYDRANT/ALL TIMES CO15-316 (A)4,Fourth Notice,60,Sunday,01,"('43.0485203', '-76.2427812')"
52,,,53,376220D,2023/01/02 04:18:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,25,Monday,04,"(43.113505702811246, -76.11989651004016)"
53,,,54,376221D,2023/01/02 04:19:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25,Monday,04,"(43.113505702811246, -76.11989651004016)"
54,,,55,376222D,2023/01/02 04:20:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,25,Monday,04,"(43.113505702811246, -76.11989651004016)"
55,,,56,394113D,2023/01/02 08:47:00+00,100 LAWRENCE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,08,"('43.068886', '-76.149485')"
56,,,57,376223D,2023/01/02 04:22:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,25,Monday,04,"(43.113505702811246, -76.11989651004016)"
57,,,58,394114D,2023/01/02 08:51:00+00,100 DELONG AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,08,"('43.069985', '-76.150154')"
58,,,59,394353D,2023/01/02 08:41:00+00,100 LAWRENCE ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,25,Monday,08,"('43.068886', '-76.149485')"
59,-8476566.84080753,5322408.33089351,60,3994355D,2023/01/02 08:54:00+00,100 CLEVELAND AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Void Approved,0,Monday,08,"('43.0685292', '-76.1462724')"
60,-8477553.68807163,5319927.75735116,61,392243D,2023/01/01 01:01:00+00,300 GENESEE ST W,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Fourth Notice,25,Sunday,01,"('43.0485203', '-76.2427812')"
61,,,62,395976D,2023/01/02 23:07:00+00,100 CANDEE AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,23,"('43.048391', '-76.105114')"
62,,,63,394119D,2023/01/02 09:37:00+00,1100 OAK ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,60,Monday,09,"('43.0669933', '-76.1361763')"
63,,,64,394359D,2023/01/02 09:31:00+00,1100 OAK ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Pending ,25,Monday,09,"('43.0669933', '-76.1361763')"
64,-8476566.84080753,5322408.33089351,65,394355D,2023/01/02 08:54:00+00,100 CLEVELAND AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Monday,08,"('43.0685292', '-76.1462724')"
65,,,66,394118D,2023/01/02 09:33:00+00,1100 OAK ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,09,"('43.0669933', '-76.1361763')"
66,,,67,394360D,2023/01/02 10:54:00+00,100 MILDRED AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,10,"('43.068153', '-76.116619')"
67,,,68,394357D,2023/01/02 14:19:00+00,500 CRAIG ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,14,"('43.071973', '-76.144931')"
68,,,69,394115D,2023/01/02 09:13:00+00,500 CRATON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,09,"('43.0567897', '-76.123486')"
69,-8473268.16599767,5317885.10392047,70,395995D,2023/01/03 00:12:00+00,700 ALLEN ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Tuesday,00,"('43.0388235', '-76.1166619')"
70,,,71,376226D,2023/01/03 04:44:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Adjudication Approved,0,Tuesday,04,"(43.113505702811246, -76.11989651004016)"
71,,,72,396004D,2023/01/02 09:11:00+00,300 WESTCOTT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,09,"('43.045404', '-76.119783')"
72,,,73,395965D,2023/01/02 22:34:00+00,100 FENWAY DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,22,"('43.050491', '-76.11087')"
73,,,74,392568D,2023/01/02 18:05:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25,Monday,18,"(43.113505702811246, -76.11989651004016)"
74,,,75,371241D,2023/01/02 11:25:00+00,1500 CALEB AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,11,"('43.0616031', '-76.0968222')"
75,,,76,392566D,2023/01/02 12:00:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,25,Monday,12,"(43.113505702811246, -76.11989651004016)"
76,,,77,392571D,2023/01/02 14:12:00+00,1000  EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,25,Monday,14,"(0, 0)"
77,,,78,392346D,2023/01/02 09:11:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,25,Monday,09,"(43.113505702811246, -76.11989651004016)"
78,,,79,392569D,2023/01/02 18:19:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,25,Monday,18,"(43.113505702811246, -76.11989651004016)"
79,,,80,395964D,2023/01/02 22:33:00+00,2300 FAYETTE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Monday,22,"('43.048168', '-76.111425')"
80,,,81,376224D,2023/01/02 12:20:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25,Monday,12,"(43.113505702811246, -76.11989651004016)"
81,-8472480.69195986,5319313.54344282,82,395967D,2023/01/02 22:42:00+00,200 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Monday,22,"('43.0482071', '-76.1096112')"
82,,,83,395969D,2023/01/02 22:48:00+00,20 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,22,"('43.047895', '-76.10935')"
83,-8472480.69195986,5319313.54344282,84,395968D,2023/01/02 22:45:00+00,200 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,22,"('43.0482071', '-76.1096112')"
84,-8472480.69195986,5319313.54344282,85,395970D,2023/01/02 22:57:00+00,200 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,22,"('43.0482071', '-76.1096112')"
85,-8472509.24542119,5319650.80768329,86,395971D,2023/01/02 22:55:00+00,100 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Monday,22,"('43.050416', '-76.1098451')"
86,-8472480.69195986,5319313.54344282,87,395972D,2023/01/02 22:56:00+00,200 GENESEE PK DR,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,25,Monday,22,"('43.0482071', '-76.1096112')"
87,,,88,395975D,2023/01/02 23:03:00+00,2700 FAYETTE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Monday,23,"('43.048446', '-76.104836')"
88,,,89,392347D,2023/01/02 14:32:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25,Monday,14,"(43.113505702811246, -76.11989651004016)"
89,-8472509.24542119,5319650.80768329,90,395973D,2023/01/02 22:58:00+00,100 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Monday,22,"('43.050416', '-76.1098451')"
90,,,91,392349D,2023/01/02 17:45:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,25,Monday,17,"(43.113505702811246, -76.11989651004016)"
91,,,92,392348D,2023/01/02 15:44:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Issued,25,Monday,15,"(43.113505702811246, -76.11989651004016)"
92,-8472509.24542119,5319650.80768329,93,395974D,2023/01/02 22:59:00+00,100 GENESEE PK DR,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,25,Monday,22,"('43.050416', '-76.1098451')"
93,,,94,395978D,2023/01/02 23:14:00+00,100 DIDAMA ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,23,"('43.046506', '-76.10787')"
94,,,95,395977D,2023/01/02 23:11:00+00,200 CANDEE AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,23,"('43.047526', '-76.105044')"
95,-8472952.57529883,5319142.17401007,96,395979D,2023/01/02 23:17:00+00,400 ELLIS ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,23,"('43.0470968', '-76.1137712')"
96,-8472952.57529883,5319142.17401007,97,395980D,2023/01/02 23:19:00+00,400 ELLIS ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,23,"('43.0470968', '-76.1137712')"
97,-8473618.32155827,5318651.38929538,98,395981D,2023/01/02 23:27:00+00,400 WESTCOTT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Monday,23,"('43.0438663', '-76.1198046')"
98,,,99,395984D,2023/01/02 23:35:00+00,100 CAMBRIDGE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,23,"('43.045412', '-76.118227')"
99,-8473618.32155827,5318651.38929538,100,395983D,2023/01/02 23:30:00+00,400 WESTCOTT ST,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25,Monday,23,"('43.0438663', '-76.1198046')"
100,,,101,395987D,2023/01/02 23:37:00+00,100 CAMBRIDGE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,23,"('43.045412', '-76.118227')"
101,-8473719.00992931,5317809.71240169,102,395988D,2023/01/02 23:48:00+00,700 MARYLAND AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,23,"('43.038331', '-76.1207114')"
102,,,103,395985D,2023/01/02 23:31:00+00,100 CAMBRIDGE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,23,"('43.045412', '-76.118227')"
103,,,104,395990D,2023/01/02 23:59:00+00,800 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,23,"('43.036473', '-76.123268')"
104,,,105,395989D,2023/01/02 23:50:00+00,800 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Approved,0,Monday,23,"('43.036473', '-76.123268')"
105,-8473640.86368371,5316562.41554059,106,395991D,2023/01/02 23:57:00+00,200 KENSINGTON PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,23,"('43.0301396', '-76.119975')"
106,,,107,394117D,2023/01/02 09:27:00+00,1300 OAK ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Promise To Pay,60,Monday,09,"('43.0695279', '-76.1363231')"
107,,,108,377056D,2023/01/02 19:42:00+00,109 EDWARDS AVE N,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Monday,19,"('43.06907452840037', '-76.10656575304348')"
108,-8478567.0851721,5318384.07328765,109,340108D,2023/01/02 18:30:00+00,403 SEYMOUR ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Monday,18,"('43.042097', '-76.16425')"
109,-8475315.49844549,5322187.53459083,110,394120D,2023/01/02 10:44:00+00,400 HELEN ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Monday,10,"('43.0670725', '-76.1350547')"
110,,,111,371244D,2023/01/02 11:40:00+00,1500 CALEB AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Monday,11,"('43.0616031', '-76.0968222')"
111,-8473662.40399452,5322618.16087489,112,381321D,2023/01/02 11:03:00+00,300 MILDRED AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,60,Monday,11,"('43.0698907', '-76.1201803')"
112,,,113,394358D,2023/01/02 09:20:00+00,1300 OAK ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Monday,09,"('43.0695279', '-76.1363231')"
113,,,114,391201D,2023/01/03 06:34:00+00,100 SCHULER ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Tuesday,06,"('43.059873', '-76.124377')"
114,,,115,391203D,2023/01/03 06:36:00+00,kfd6789 WINTON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Tuesday,06,"(0, 0)"
115,,,116,391202D,2023/01/03 06:36:00+00,800 WINTON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Tuesday,06,"('43.060071', '-76.124666')"
116,,,117,3911204D,2023/01/03 06:43:00+00,100 ELDORADO ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Tuesday,06,"('43.063417', '-76.122402')"
117,,,118,391205D,2023/01/03 06:43:00+00,100 ELDORADO ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Tuesday,06,"('43.063417', '-76.122402')"
118,-8473847.24999223,5321510.09248022,119,391206D,2023/01/03 06:46:00+00,100 MOONEY AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Tuesday,06,"('43.0626293', '-76.1218273')"
119,,,120,391207D,2023/01/03 06:59:00+00,300 DURSTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Tuesday,06,"('43.067486', '-76.127071')"
120,,,121,395996D,2023/01/03 00:16:00+00,1100 EUCLID AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Tuesday,00,"('43.0368345', '-76.1149259')"
121,-8473408.42855475,5317366.97143526,122,395993D,2023/01/03 00:05:00+00,200 ROOSEVELT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Promise To Pay,60,Tuesday,00,"('43.0354067', '-76.1178868')"
122,-8473408.42855475,5317366.97143526,123,395994D,2023/01/03 00:07:00+00,200 ROOSEVELT AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Promise To Pay,25,Tuesday,00,"('43.0354067', '-76.1178868')"
123,,,124,395997D,2023/01/03 00:17:00+00,1100 EUCLID AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Tuesday,00,"('43.0368345', '-76.1149259')"
124,,,125,391204D,2023/01/03 06:43:00+00,100 ELDORADO ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Tuesday,06,"('43.063417', '-76.122402')"
125,,,126,395947D,2023/01/03 00:00:00+00, UNKNOWN,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25,Tuesday,00,"(0, 0)"
126,,,127,23500001,2023/01/03 09:57:00+00,300 FORMAN AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,60,Tuesday,09,"('43.048391', '-76.140049')"
127,,,128,23500003,2023/01/03 10:00:00+00,300 FORMAN AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,60,Tuesday,10,"('43.048391', '-76.140049')"
128,,,129,23500002,2023/01/03 09:57:00+00,300 FORMAN AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,25,Tuesday,09,"('43.048391', '-76.140049')"
129,,,130,23500005,2023/01/03 10:01:00+00,300 FORMAN AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Issued,25,Tuesday,10,"('43.048391', '-76.140049')"
130,,,131,23500004,2023/01/03 10:01:00+00,300 FORMAN AVE,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Issued,25,Tuesday,10,"('43.048391', '-76.140049')"
